1	b-quark     	-35.72	-18	11.97	41.9604
1	anti-b-quark	-40.28	-22	51.03	68.7605
2	W-boson     	0.68	66.24	30.24	108.46
2	W-boson     	16.32	2.76	5.76	82.2684
3	W-boson     	54.12	-5.28	32.2	102.248
3	W-boson     	27.88	-82.72	37.8	124.538
4	b-quark     	-26	7.1	-0.57	27.2802
4	anti-b-quark	-24	63.9	-0.43	68.3876
5	b-quark     	-29.16	-1	9.18	30.8715
5	anti-b-quark	-24.84	-9	8.82	28.1654
6	b-quark     	0	1.86	19.72	20.2438
6	anti-b-quark	0	29.14	14.28	32.719
7	b-quark     	21.76	-42.3	28.08	55.3963
7	anti-b-quark	10.24	-47.7	49.92	69.9259
8	b-quark     	-4.76	-18.88	1.32	19.9581
8	anti-b-quark	-29.24	-40.12	64.68	81.6429
9	b-quark     	14.85	0.38	0.06	15.4319
9	anti-b-quark	18.15	18.62	1.94	26.4076
10	W-boson     	42.48	20.44	34.83	99.4807
10	W-boson     	16.52	52.56	46.17	107.834
11	b-quark     	18	24.96	13.8	33.984
11	anti-b-quark	27	1.04	6.2	28.0356
12	b-quark     	0.01	17.48	-80.19	82.1794
12	anti-b-quark	0.99	1.52	-18.81	19.354
13	b-quark     	-40.47	1.84	15.98	43.7497
13	anti-b-quark	-16.53	2.16	31.02	35.4629
14	b-quark     	1.98	18.8	-17.43	26.0507
14	anti-b-quark	1.02	21.2	-65.57	69.0462
15	W-boson     	5.22	-29.7	-12.18	86.7101
15	W-boson     	52.78	-15.3	-74.82	122.796
16	W-boson     	-4	1.78	-23.32	83.8089
16	W-boson     	-36	0.22	-20.68	90.4691
17	b-quark     	-27.84	-2.96	7.98	29.4105
17	anti-b-quark	-20.16	-1.04	49.02	53.1784
18	b-quark     	47.45	-67.64	-39.6	91.7186
18	anti-b-quark	17.55	-8.36	-20.4	28.4873
19	b-quark     	-51.66	50.44	19.98	75.0308
19	anti-b-quark	-30.34	46.56	17.02	58.2709
20	Tau-lepton  	1.48	28.08	-9.72	29.8045
20	Tau-lepton  	2.52	25.92	-17.28	31.3041
21	W-boson     	13.23	-33.18	11.76	88.7423
21	W-boson     	35.77	-8.82	16.24	89.8998
22	b-quark     	-0.78	17.1	7.15	19.0161
22	anti-b-quark	-2.22	12.9	3.85	14.27
23	b-quark     	26.1	-14.7	-21	36.8208
23	anti-b-quark	3.9	-6.3	-63	63.5718
24	Tau-lepton  	-46	74.25	2.3	87.3928
24	Tau-lepton  	-54	0.75	43.7	69.4939
25	b-quark     	-43.12	-27.2	17.48	54.0574
25	anti-b-quark	-0.88	-52.8	20.52	56.8081
26	W-boson     	53.25	-6.79	13.94	97.6572
26	W-boson     	21.75	-0.21	3.06	83.3272
27	W-boson     	51.62	17.22	-35.64	103.404
27	W-boson     	37.38	3.78	-45.36	99.6495
28	W-boson     	-63.99	-20.8	-28.8	108.709
28	W-boson     	-17.01	-19.2	-7.2	84.6804
29	W-boson     	-38.35	0	35.52	95.8819
29	W-boson     	-26.65	0	1.48	84.6957
30	b-quark     	-8.99	-71.34	-0.84	72.0305
30	anti-b-quark	-20.01	-15.66	-41.16	48.5516
31	W-boson     	-11.31	16.1	-4.65	82.8836
31	W-boson     	-17.69	29.9	-88.35	124.393
32	b-quark     	-22.75	7.26	9.4	26.002
32	anti-b-quark	-68.25	25.74	10.6	73.8271
33	b-quark     	0.82	-4.2	-52.25	52.5913
33	anti-b-quark	0.18	-30.8	-2.75	31.2043
34	b-quark     	-6.48	10.36	-34.96	37.2692
34	anti-b-quark	-65.52	17.64	-57.04	88.7416
35	b-quark     	-29.12	10.64	24.96	40.0207
35	anti-b-quark	-22.88	3.36	23.04	32.9105
36	b-quark     	-26.04	-5.28	-28.98	39.5382
36	anti-b-quark	-4.96	-42.72	-40.02	58.8954
37	b-quark     	2.52	-63.92	-35.28	73.1729
37	anti-b-quark	18.48	-30.08	-36.72	51.1092
38	b-quark     	59.28	23.92	85.14	106.548
38	anti-b-quark	18.72	2.08	13.86	23.7558
39	b-quark     	-17.49	-13.44	8.75	24.095
39	anti-b-quark	-15.51	-70.56	26.25	76.9793
40	W-boson     	-23.01	6.96	2.2	83.9267
40	W-boson     	-15.99	1.04	52.8	97.4964
41	b-quark     	48.97	-8.4	-9.43	50.7446
41	anti-b-quark	10.03	-12.6	-31.57	35.6861
42	b-quark     	64.86	-49.64	12.76	82.7722
42	anti-b-quark	4.14	-18.36	31.24	36.7102
43	W-boson     	-7.36	-3.08	-11.34	81.5671
43	W-boson     	-8.64	-3.92	-15.66	82.439
44	W-boson     	0.9	60.14	2.86	100.433
44	W-boson     	9.1	1.86	10.14	81.5477
45	W-boson     	-48.16	-8.25	18.25	95.8199
45	W-boson     	-7.84	-24.75	6.75	84.738
46	b-quark     	-44.24	-19.71	-3.1	48.7108
46	anti-b-quark	-11.76	-7.29	-27.9	31.4217
47	b-quark     	3.74	-41.89	-24.78	48.9927
47	anti-b-quark	30.26	-29.11	-17.22	45.5748
48	b-quark     	0.19	-18.69	67.5	70.1646
48	anti-b-quark	0.81	-70.31	22.5	73.9451
49	W-boson     	49.3	10.5	-0.69	94.8797
49	W-boson     	35.7	3.5	-0.31	88.0215
50	b-quark     	-6.08	-8.4	33.32	35.1457
50	anti-b-quark	-25.92	-11.6	64.68	70.7629
51	Tau-lepton  	60.39	-14.96	12.98	63.5798
51	Tau-lepton  	38.61	-2.04	46.02	60.1323
52	b-quark     	2.16	-70.47	43.7	83.0533
52	anti-b-quark	1.84	-10.53	2.3	11.7059
53	b-quark     	-21.32	2.28	3.08	22.0613
53	anti-b-quark	-4.68	9.72	40.92	42.5241
54	b-quark     	23.04	-63.7	-13.5	69.1972
54	anti-b-quark	24.96	-27.3	-11.5	38.9617
55	b-quark     	23.24	37.38	-29.44	53.1182
55	anti-b-quark	59.76	4.62	-2.56	60.1384
56	W-boson     	-26.68	0	-3.64	84.7704
56	W-boson     	-65.32	15	-3.36	104.709
57	b-quark     	0	-38.48	-13.6	41.0261
57	anti-b-quark	7	-13.52	-6.4	17.0359
58	b-quark     	-40.92	-47.32	6.6	63.0449
58	anti-b-quark	-3.08	-43.68	48.4	65.4023
59	W-boson     	28.08	0.4	0.99	85.1503
59	W-boson     	49.92	3.6	2.01	94.7098
60	W-boson     	12.9	17.2	-24.65	86.7803
60	W-boson     	30.1	22.8	-60.35	107.373
61	b-quark     	11.16	-68.85	-3.06	69.9407
61	anti-b-quark	19.84	-12.15	-30.94	38.9359
62	b-quark     	-0.18	6.48	-84.15	84.5028
62	anti-b-quark	-2.82	5.52	-0.85	7.52447
63	b-quark     	31.59	-80.19	17.92	88.1304
63	anti-b-quark	7.41	-18.81	14.08	24.9889
64	b-quark     	-70.07	-3.96	7.68	70.7244
64	anti-b-quark	-6.93	-18.04	0.32	19.7748
65	b-quark     	3.96	-7.48	28	29.5483
65	anti-b-quark	40.04	-60.52	7	73.0229
66	b-quark     	7.12	-16.2	-46.74	50.1521
66	anti-b-quark	81.88	-64.8	-35.26	110.291
67	b-quark     	7.04	-4.94	-8.01	12.4739
67	anti-b-quark	14.96	-21.06	-80.99	85.1127
68	b-quark     	9.68	-5	9.03	14.7552
68	anti-b-quark	12.32	-45	33.97	57.8638
69	b-quark     	-34.86	-25.85	-21.16	48.463
69	anti-b-quark	-48.14	-29.15	-24.84	61.6578
70	b-quark     	-2.1	61.88	4.15	62.1952
70	anti-b-quark	-27.9	29.12	0.85	40.5534
71	b-quark     	-2.38	-1.47	27.72	28.1726
71	anti-b-quark	-14.62	-1.53	0.28	15.2852
72	W-boson     	-8.61	15.9	-13.44	83.4777
72	W-boson     	-32.39	37.1	-14.56	95.3858
73	b-quark     	-66.93	-84.64	15.98	109.162
73	anti-b-quark	-30.07	-7.36	78.02	84.0415
74	b-quark     	-49	2.94	8.64	50.0177
74	anti-b-quark	-49	4.06	63.36	80.3084
75	b-quark     	10.71	36.54	-46.98	60.6174
75	anti-b-quark	10.29	5.46	-34.02	36.2012
76	W-boson     	-3.85	-51.83	1.62	95.7326
76	W-boson     	-73.15	-21.17	0.38	110.726
77	b-quark     	-42.3	-1.6	-12.24	44.2622
77	anti-b-quark	-2.7	-38.4	-11.76	40.4675
78	Tau-lepton  	32.2	-14.76	18.48	39.992
78	Tau-lepton  	59.8	-26.24	25.52	70.1356
79	b-quark     	-38.13	0.35	-20.7	43.5888
79	anti-b-quark	-54.87	34.65	-69.3	95.0332
80	b-quark     	7	7.31	-22.2	24.7538
80	anti-b-quark	21	9.69	-51.8	56.8824
81	b-quark     	19.2	67.89	-4.06	70.793
81	anti-b-quark	76.8	5.11	-53.94	94.0816
82	Z-boson     	-26.1	-13.12	-56.84	111.354
82	Z-boson     	-31.9	-27.88	-41.16	108.649
83	b-quark     	55.44	2.31	13.6	57.2832
83	anti-b-quark	0.56	30.69	66.4	73.2709
84	b-quark     	-11.64	44.53	65.96	80.5395
84	anti-b-quark	-0.36	16.47	2.04	17.118
85	b-quark     	-1.75	8.97	8.1	12.9076
