1	W boson     	-62.31	13.44	-3.2	102.637
1	W boson     	-4.69	28.56	-36.8	93.0207
2	b quark     	22.78	-22.33	24.38	40.366
2	anti b quark	11.22	-54.67	28.62	62.8592
3	Tau lepton  	35.64	-7.6	-44.64	57.6529
3	Tau lepton  	0.36	-2.4	-27.36	27.5248
4	b quark     	4.86	-7.4	-47.43	48.4299
4	anti b quark	22.14	-66.6	-3.57	70.3986
5	b quark     	-9.84	17.68	21.36	29.7175
5	anti b quark	-2.16	16.32	67.64	69.7399
6	b quark     	-6.65	3.64	-68.62	69.1639
6	anti b quark	-88.35	3.36	-25.38	92.0795
7	W boson     	-74.82	-56.4	-25.84	126.126
7	W boson     	-11.18	-37.6	-50.16	102.546
8	Tau lepton  	-23.76	16.15	-3.06	28.9461
8	Tau lepton  	-9.24	0.85	-47.94	48.862
9	b quark     	-22.14	19.68	-59.17	66.3027
9	anti b quark	-59.86	21.32	-1.83	63.707
10	b quark     	-3.28	2.5	17.16	18.1369
10	anti b quark	-4.72	47.5	26.84	54.9216
11	b quark     	26.68	-41.65	68.88	84.9027
11	anti b quark	2.32	-7.35	13.12	15.7801
12	b quark     	-62.9	70.29	-82.56	125.422
12	anti b quark	-11.1	28.71	-3.44	31.2535
13	b quark     	-71.28	-36.18	13.6	81.1928
13	anti b quark	-27.72	-30.82	26.4	49.3224
14	W boson     	48.6	-0.8	0.12	93.9338
14	W boson     	41.4	-19.2	5.88	92.6181
15	b quark     	11.8	-51.04	40.6	66.409
15	anti b quark	47.2	-36.96	17.4	62.5629
16	b quark     	36.8	-3.36	-12.92	39.3691
16	anti b quark	55.2	-8.64	-6.08	56.3572
17	b quark     	-4.5	-0.18	-32.56	33.1347
17	anti b quark	-20.5	-0.82	-55.44	59.262
18	b quark     	-13.52	-14.3	0.24	20.1199
18	anti b quark	-38.48	-11.7	3.76	40.6105
19	Z boson     	-32.56	-5.88	17.28	98.534
19	Z boson     	-11.44	-92.12	54.72	141.163
20	b quark     	29.4	-3.52	-0.99	29.9199
20	anti b quark	19.6	-84.48	-10.01	87.3997
21	b quark     	10.8	-22.32	11	27.4462
21	anti b quark	19.2	-1.68	44	48.2176
22	b quark     	-18	26.24	80.99	87.1171
22	anti b quark	-32	5.76	10.01	34.2761
23	b quark     	1.06	46.2	22.04	51.3692
23	anti b quark	0.94	30.8	6.96	31.8659
24	Tau lepton  	29.05	71.54	-60.9	98.3557
24	Tau lepton  	5.95	1.46	-9.1	11.113
25	b quark     	-0.38	-17.5	-25.11	30.893
25	anti b quark	-0.62	-52.5	-5.89	52.9981
26	Z boson     	18.36	20.4	-76	121.84
26	Z boson     	35.64	13.6	-24	101.719
27	b quark     	-9.1	38.28	4.16	39.7863
